id	document	label
841976	녹조현상?? 이었나 그거 있나 보네요 불량은	
496304	저만 뭐가 다른지 모르겠나요?	
377799	어두워지면 화면 오른쪽 아랫부분이 분홍빛 띄는거요!	
318667	거기에 녹조 추가요... 녹색빛 액정근데 이건 아몰레드 액정에서 그 뭐시기냐... 그!! 주사율 높이면 나오는 고질병같은 존재라 삼성폰도 말많았죠ㅠㅠ	
641590	저거 미니랑 프로말구 그냥 12 만 LGD써서 LGD에서 불량뜨는거라던뎁,,, 얼탱쓰	
680837	바꿔주겠죠 12 곧 오는데 불안......	
609531	홀로그램이 되었군요	
290701	와우 당첨안되길 빌어야겠네요	
853730	12가 lgd oled써서 12에만 나타나는 불량이라고 합니드아.. 12 사신분들 양품 뽑기를..! 12 제외하고는 삼디꺼라 벚꽃에디션 없다고 합니다	
592484	프로는 상관 없는겅가요??	
719047	넵 상관없어요	
214987	근데 불량 뜨면 바꿔줘야하는거어닌가요? 그냥 운인건가요? 왜 이걸 소비자 몫으로 돌리는지..	
874419	왜 굳이 12만 LGD로 한건가요? 따로 이유가 있나..	
736452	프로랑 급나누기져	
132132	12가 중국 디스플레이였나요?? 프로라인은 한국거라는거 본것같은데	
564345	boe는 리퍼용이요	
719587	12는 lg디스플레이꺼에요 12제외하고 미니 프로 프로맥스는 삼성디스플레이껍니다	
99298	근데 아래 버튼?? 도 다른데 저건 원래 그런 건가요	
82527	언더케이지가 피해자라서 다행?인 면도 있다고 봄	
577521	정상제품에는 왜 보이스메일 탭이 없는거죠??	
751082	녹조현상?? 이었나 그거 있나 보네요 불량은	
476781	저만 뭐가 다른지 모르겠나요?	
832839	어두워지면 화면 오른쪽 아랫부분이 분홍빛 띄는거요!	
984271	거기에 녹조 추가요... 녹색빛 액정근데 이건 아몰레드 액정에서 그 뭐시기냐... 그!! 주사율 높이면 나오는 고질병같은 존재라 삼성폰도 말많았죠ㅠㅠ	
768781	저거 미니랑 프로말구 그냥 12 만 LGD써서 LGD에서 불량뜨는거라던뎁,,, 얼탱쓰	
852731	바꿔주겠죠 12 곧 오는데 불안......	
88507	홀로그램이 되었군요	
361945	와우 당첨안되길 빌어야겠네요	
373795	12가 lgd oled써서 12에만 나타나는 불량이라고 합니드아.. 12 사신분들 양품 뽑기를..! 12 제외하고는 삼디꺼라 벚꽃에디션 없다고 합니다	
425207	프로는 상관 없는겅가요??	
693818	넵 상관없어요	
182828	근데 불량 뜨면 바꿔줘야하는거어닌가요? 그냥 운인건가요? 왜 이걸 소비자 몫으로 돌리는지..	
549580	왜 굳이 12만 LGD로 한건가요? 따로 이유가 있나..	
894813	프로랑 급나누기져	
45211	12가 중국 디스플레이였나요?? 프로라인은 한국거라는거 본것같은데	
573782	boe는 리퍼용이요	
22352	12는 lg디스플레이꺼에요 12제외하고 미니 프로 프로맥스는 삼성디스플레이껍니다	
779015	근데 아래 버튼?? 도 다른데 저건 원래 그런 건가요	
255313	언더케이지가 피해자라서 다행?인 면도 있다고 봄	
509563	정상제품에는 왜 보이스메일 탭이 없는거죠??	
682957	녹조현상?? 이었나 그거 있나 보네요 불량은	
435663	저만 뭐가 다른지 모르겠나요?	
730022	어두워지면 화면 오른쪽 아랫부분이 분홍빛 띄는거요!	
143353	거기에 녹조 추가요... 녹색빛 액정근데 이건 아몰레드 액정에서 그 뭐시기냐... 그!! 주사율 높이면 나오는 고질병같은 존재라 삼성폰도 말많았죠ㅠㅠ	
11224	저거 미니랑 프로말구 그냥 12 만 LGD써서 LGD에서 불량뜨는거라던뎁,,, 얼탱쓰	
269300	바꿔주겠죠 12 곧 오는데 불안......	
798411	홀로그램이 되었군요	
102340	와우 당첨안되길 빌어야겠네요	
666189	12가 lgd oled써서 12에만 나타나는 불량이라고 합니드아.. 12 사신분들 양품 뽑기를..! 12 제외하고는 삼디꺼라 벚꽃에디션 없다고 합니다	
183144	프로는 상관 없는겅가요??	
130388	넵 상관없어요	
382180	근데 불량 뜨면 바꿔줘야하는거어닌가요? 그냥 운인건가요? 왜 이걸 소비자 몫으로 돌리는지..	
109639	왜 굳이 12만 LGD로 한건가요? 따로 이유가 있나..	
403478	프로랑 급나누기져	
625059	12가 중국 디스플레이였나요?? 프로라인은 한국거라는거 본것같은데	
283905	boe는 리퍼용이요	
432329	12는 lg디스플레이꺼에요 12제외하고 미니 프로 프로맥스는 삼성디스플레이껍니다	
500884	근데 아래 버튼?? 도 다른데 저건 원래 그런 건가요	
289718	언더케이지가 피해자라서 다행?인 면도 있다고 봄	
303785	정상제품에는 왜 보이스메일 탭이 없는거죠??	
522416	저 애니메이션 뜨는게 끝인가요...?다른기능없이 오직 저것..하나...?	
919777	👏	
776019	투명 케이스 단 돈 59,000원	
301733	교통카드 역할 되면 젛겟는데..	
672366	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저건 뭐 실용성 하나도 없이 낄 때 이쁘기만한ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ비싸기는 엄청 비싼...	
700222	저게 기존 케이스 끼우면 맥세이프 자력이 떨어지는걸 보완하는 케이스라네요근데 넘 몬생ㄱ...	
118136	애플페이 진짜 진지하게 생각좀 해보지 저런거 말고ㅠㅠ	
501225	네 그것이 먼저왔습니다,,,폰은 언제올까여...	
291168	(내용 없이 첨부한 댓글)	
327564	저게 그래서 먼 필욘데염	
561614	저런게 왜 필요한 거지	
633275	막상 사람들이 다 사주니까 본인들도 시도하는건가ㅋㅋ	
250997	하ㅏ아아.. 이럴거 같았지만 정말 이러네...	
151800	이어폰은 없애도 충전기는 내줘라 맨날 망가지고 잃어버리니께	
919169	이걸 왜 따라해 삼성 ㅜㅜㅜ 그러지마 ㅜㅜㅜ	
656405	샘송......그러지마라...	
263296	좋은거만 따라해요 제발ㅠㅠㅠ	
426470	식당가서 냅킨이나 물티슈 제공 안하는 기분인데요	
410837	애플이랑 삼성 대결구도로 있기때문에 거의 시장 독점이긴 한데.. 어쨌건 두 회사에서 휴대폰을 구매하는 사람이 대부분이잖아요 애플도 구성 빼고 삼성도 구성 빼도 둘 다 같이 빼니 크게 달라질건 없으니까 두 회사 모두 이득을 보겠지만 소비자는 기분 나빠요	
746025	이러지마라 삼성... 나 휴대폰 뭐쓰라고 이제ㅠㅠ	
715551	충전기 버리지마 삼성...	
432341	삼성아 나쁜것좀 따라하지 마라.....	
107112	감성이나 그런거 따라해줘 저런 거 따라하지마,,, 아니 이어폰은 빼도 충전기는 안돼,,;,,,,,,ㅠㅠㅠ	
615729	아 진짜 싫...	
617016	폰바꾸는김에 충전기도 바꾸는데... 안주면...짜증나내요..가격이 많이 떨어지는것도 핸드폰가격이 싼것도 아닌데요... 일체형 배터리되서 1년마다 갈아주는것도 4 5만원씩이고 배터리 또싸고  5G요금제는 비싸고....ㅠ 충전기까지 빼버린다니 너무하네용...	
400035	ㅠㅠㅠㅠㅠㅠㅠㅠ아이폰 충전기 뺀 거 짜증나서 갤럭시 샀는데 갤럭시도ㅠㅠㅠㅠㅠ	
178795	진짜 따라쟁이 이런건 따라하지말지	
734589	왜그래	
573805	삼성은 다른 길을 가지... 애플에 회의적이어서 삼성으로 돌아서려니까 저 모양이네. 차라리 이 기회에 팬층 확 끌어오지	
106557	하......	
831269	아니 조롱을 하지말던가..	
177294	주고 아이폰으로 떠나갈 것같은 사람 잡아야지....	
290501	서로 왜 별로인 걸 그리 따라하시나..	
973053	아니라고 해주세여..	
952139	아니 대체 왜......	
164019	짜증...그렇다고 엘지로 갈 수도 없고...이러면 걍 애플로 갈까	
866049	왜이런거 따라해 삼성..ㅜㅜㅜ	
146555	너네 왜그래 진짜,,,,	
821270	엥? 아니 갤럭시로 갈아타려로 했는데 이게 무슨...?	
152100	아	
379947	최악...	
669264	이런건 따라하지 말지 ㅠㅠ 하...ㅠㅠ 아쉽네여	
730055	충전기 좀 줘요...폰바꿀때면 이미 충전기 작살나있단말여	
419328	아니 대체 왜 따라하는거냐구여,,,	
556779	신청하면 무료로 주면 더 좋은거아닌가	
509485	아니면 지금은 미국에서 주고있는 데 후에는 아예 빠진다는 얘긴가	
659752	빠진만큼 가격만 낮춰서 나온다면 오히려 환영	
504453	ㅋㅋㅋㅋㅋㅋㅋ저런거 따라하지 말라구	
814606	쓸데없는것만 따라하네...	
718175	엥? 너무한거 아니냐구....	
675692	아니 이걸 왜... 다음엔 엘지가야하나...	
119899	왜 자꾸 이상한거 따라하는거죠? 이어폰은 버즈 쓰면 되니깐 충전기라도 줘요ㅠㅠㅠ	
466451	?	
399848	아 니는 또 왜그러는데... 나 갤럭시 갈아타려고 했단말이야... 20사야되나...	
923168	노트 20 기본 구성품에 이어폰 있던데 뭐죠..?	
203130	아.......ㅜㅜ	
486671	삼성 왜그래 진짜... 잘하자	
33604	안돼ㅜㅜㅜ	
617949	별걸 다 따라하네	
559198	그걸 왜 따라해요..... ㅠ	
64521	아니 장점을 버려버리네	
204113	원가절감 따라할거면 조롱이나 하지 말던가 멋없게 ㅜㅜ	
62103	아....정말..	
406916	이럴때일수록 평소처럼 충전기 이어폰만 줘도애플보다 낫다라는 소리 듣고 칭찬 받을텐데 생각이 너무 없네요;	
937894	안돼	
788309	아니 삼성 제발ㅠㅠㅠ	
48466	진짜 너무한닽ㅋㅋㅋㅋㅋㅋ	
469260	아니 왜............. 그냥 충전기 줘요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
149557	살 핸드폰이 없네여...	
546191	샘송 왜그래요...	
462589	아니 내년에 핸드폰 바꿀라구 기대하고 있었는데...	
87416	아니 역으로 이걸 이용할 수도 있을 거 같은데 왜 따라하냐구요 샘송...	
374085	그래도 서비스는 삼성이 낫네 했는데...아이폰으로 바꿀 명분 하나 더 제공해줘서 고오맙디ㅏ	
922701	삼성..제발 하지마...	
281623	왜그래..	
900232	일 진짜 못해,,,	
750973	헤엥 이어폰은 주지!!!	
983587	씁...자꾸 안좋은 것만 따라하네 애플이 저렇게 해도 잘 팔리니까 본인들도 그렇게 할거란 말인가...?	
592034	아 오ㅑ저래	
467626	헐?	
189037	삼성은 어차피 씨타입 호환가능해서 괜찮아요	
772799	지금까지 집에 충전기가 4~5개라..	
712346	뭔 소리예요	
702340	오히려 그대로 유지해야 이미지랑 고객 유치에 유리할텐데.. 에휴휴휴	
585749	뭘 이런걸 따라하나	
110474	선택사항으로 두면 좋겠는데요...하..	
48422	저것만 제대로 챙겨줘도 이미지 챙길 수 있을텐데 왜 저래	
372700	충전기 뺀 걸 조롱했어요...?	
956240	야	
605999	왜.. 왜 그러는거에요?	
932002	그걸 왜 빼요..???	
838028	아 진짜 왜 그래...	
527324	삼성은 ㄹㅇ 괜찮은 호환 되니까요	
16462	근데 삼성은 충전기가 다른 것도 아니라 문제 없어보이는데요,,, 물론 충전기랑 이어폰 제공을 안 하면 그만큼 가격을 낮춘다는 전제하에요	
788391	그르게요. 그만큼 가격낮추고 추가구성 옵션으로 넣어놓으면 더 좋지않나요?	
974981	아니 그럼 아이폰에서 갤럭시로 바꾸는 사람은 또 사야겠네요... 근데 이쯤되면 애플이 불쌍해질지경 맨날 욕은 먼저 먹고 막상 까놓고보면 다른 회사들도 저러니....	
373002	이어폰 신청하면 무료로 준다는데요??? 걍 기사 제대로 안읽는분 많아보이ㅁ...	
216063	?	
570802	근데 뭐 시장성 원리 아닌가요 충전기 미지급에 욕은 하지만 결국 구매율은 똑같으니ㅋㅋㅋㅋ 삼성도 손해 볼 순 없느니 따라가는 것	
897060	어차피 샘송은 씨타입 호환 되는 거니까 뺀만큼 가격 저렴해지면 이득이긴하겠다	
980272	아니 이어폰이랑 충전기랑 같냐고요~~~!	
818824	아니 이걸 왜 따라하는건가요ㅠㅜㅜㅜㅜ	
236513	갈아타려는 사람들 생각 좀...	
439244	왜빼는데!!!	
578061	아 너무들 하네	
605695	안 좋은 거만 따라해 왜ㅠㅠ	
271829	ㅠㅠ이어폰은 넣어달라구요......	
260396	아니 근데 따라할 거면 비꼬질 말던가 비꼴 거면 따라하질 말던가,,,,	
679065	삼성... 그러지 마 ㅠㅠㅠㅠㅜ	
714975	삼성충전기 자주고장나는데 왜 빼는거임ㅋㅋ	
849589	가격이라도,,, 내려줘,,,,	
833329	따라할게 따로있지 이걸따라하시나요;	
903489	대체 왜 별 쓸데도 없는 것까지 자꾸 따라 하는 걸까? 반응 안 좋은 걸 알 텐데...	
536075	이번 애플 발표회때도 애플이 자랑스럽게 환경을 위해 다른 브랜드도 동참하세요!!라고 말했으니..	
877373	아 진짜 짜증나네요ㅠㅠ	
821473	왜 안좋은 것만 따라하려고 하나....	
98791	환경보호한다는 핑계대면 얼마나 욕먹을라나요	
885252	ㅋㅋㅋㅋㅋㅋㅋㅋ	
384324	애플이 총대 매는 거죠 뭐	
222048	아직 팩트가 아니라 전망 아닌가요...?	
938968	왜저래....에휴...	
602287	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
430466	설마... 이상한 짓하지마ㅜ	
551862	충전기 이어폰 체크 있어서 빼면 각각2만원씩 총4만원 할인했으면 좋겠네요	
548474	아 제발 이러지마	
432111	아니... 충전기는 진짜 폰 사용하는데 필수품인데 그걸 구성에서 빼버리다니 진짜 왜 그래요ㅠㅠㅠㅠ	
628449	현재하는것 처럼 요청하면 무료로 주면 좋은거 같은데여??? 안쓰면 아까우니까..	
169764	아! 요즘에 요청하면 무료로 주나요?	
42685	미국에서는 이어폰을 기본구성에서 빼고 요청하면 준다고 기사에 적어져 있어요!	
11590	아하!^^ 감사합니다~!!	
495190	아니 환경 어쩌고 저쩌고... 하기전에 일단 필요한걸요. 배달시킬때 젓가락 빼달라 하는 것처럼 신청한 사람에 한해서 빼주고 그만큼 가격 절감을 해주던가.... 뭔 기기 팔면서 충전기는 다 빼버리고 이건 환경을 위한거다! 하고 별도 구매 해놓으면 다 장삿속으로만 보여요	
781150	그냥 둘이 합병해라	
183255	아 진짜ㅋㅋㅋ며칠전에 충전기 사러 갔더니 c타입usb 2만원하던거 c타입c타입으로 바뀌고 3만원에 팔길래 설마했는데.. 할거면 버즈처럼 폰구매시 충전기 할인쿠폰이나 할인..	
679902	에이	
523667	근데 삼성은 괜찮지 않나요? 충전기 없어도 하나만 사면 다 호환되는데...	
26905	나쁜 거 따라 하지 마... 샘송	
632101	이어폰이랑 충전기 빼고 가격낮춘다면 괜찮아요충전기야 뭐 사방에 있고 남아도니까... 아이폰은 그게 안되서 그렇지...	
382149	블루투스 충전기는 아직 멀었니 삼성?.. 범위 내에 있으면 충전되게해줘..	
581126	개....소리....	
52695	넌 또 뭐야	
550258	좀...	
